"","age","group_age_cout"
"1",0,"group_6"
"8296",1,"group_2"
"19343",2,"group_2"
"29812",3,"group_2"
"39773",4,"group_2"
"49422",5,"group_2"
"58539",6,"group_2"
"67161",7,"group_2"
"75292",8,"group_4"
"82852",9,"group_4"
"90025",10,"group_4"
"96853",11,"group_4"
"103229",12,"group_4"
"109249",13,"group_4"
"114917",14,"group_4"
"120140",15,"group_4"
"125162",16,"group_4"
"129773",17,"group_4"
"134086",18,"group_4"
"138158",19,"group_4"
"141603",20,"group_4"
"144486",21,"group_4"
"146941",22,"group_4"
"149364",23,"group_4"
"151885",24,"group_4"
"154718",25,"group_3"
"158106",26,"group_3"
"162013",27,"group_3"
"166464",28,"group_3"
"171788",29,"group_5"
"177918",30,"group_5"
"184587",31,"group_9"
"192229",32,"group_9"
"200191",33,"group_9"
"208298",34,"group_9"
"216618",35,"group_11"
"225139",36,"group_11"
"233936",37,"group_11"
"242736",38,"group_12"
"251329",39,"group_12"
"259688",40,"group_12"
"267788",41,"group_12"
"275537",42,"group_12"
"282918",43,"group_12"
"290062",44,"group_12"
"296850",45,"group_12"
"303298",46,"group_12"
"309450",47,"group_12"
"315241",48,"group_10"
"320891",49,"group_10"
"326340",50,"group_10"
"331576",51,"group_7"
"336647",52,"group_7"
"341404",53,"group_7"
"346137",54,"group_7"
"350589",55,"group_7"
"354772",56,"group_7"
"358842",57,"group_7"
"362677",58,"group_7"
"366218",59,"group_7"
"369447",60,"group_7"
"372280",61,"group_7"
"374569",62,"group_8"
"376481",63,"group_8"
"378090",64,"group_8"
"379408",65,"group_13"
"380445",66,"group_13"
"381194",67,"group_13"
"381791",68,"group_13"
"382300",69,"group_13"
"382734",70,"group_13"
"383095",71,"group_13"
"383404",72,"group_13"
"383661",73,"group_13"
"383884",74,"group_13"
"384094",75,"group_13"
"384282",76,"group_13"
"384450",77,"group_13"
"384603",78,"group_13"
"384746",79,"group_13"
"384882",80,"group_13"
"385015",81,"group_13"
"385119",82,"group_13"
"385199",83,"group_13"
"385259",84,"group_13"
"385307",85,"group_13"
"385348",86,"group_13"
"385386",87,"group_13"
"385413",88,"group_13"
"385433",89,"group_13"
"385448",90,"group_13"
"385454",91,"group_13"
"385460",92,"group_13"
"385463",93,"group_13"
"385466",98,"group_13"
"385467",99,"group_13"
"385468",100,"group_13"
"385493",101,"group_13"
"385511",102,"group_13"
"385521",103,"group_13"
"385524",104,"group_13"
"385525",105,"group_13"
"385528",106,"group_13"
"385530",107,"group_13"
"385533",108,"group_13"
"11",-2,"group_1"
"2",-1,"group_1"
"3",94,"group_1"
"4",95,"group_1"
"5",96,"group_1"
"6",109,"group_1"
